resume_text,role
python sql excel power bi tableau,Data Analyst
machine learning statistics python,Data Scientist
tensorflow keras deep learning python,Machine Learning Engineer
excel reporting stakeholder management sql,Business Analyst
html css javascript react,Frontend Developer
java spring mysql backend api,Backend Developer
react nodejs mongodb express,Full Stack Developer
java python dsa oop,Software Engineer
autocad solidworks catia manufacturing,Mechanical Engineer
ansys machine design production,Mechanical Engineer
staad pro autocad surveying,Civil Engineer
concrete design structural analysis,Civil Engineer
matlab plc scada transformers,Electrical Engineer
power systems electrical machines,Electrical Engineer
embedded systems arduino pcb,Electronics Engineer
vehicle design engine transmission,Automobile Engineer
process engineering thermodynamics,Chemical Engineer
production planning quality control,Production Engineer
robotics automation plc sensors,Mechatronics Engineer
aerodynamics aircraft design,Aerospace Engineer
